0,# 0 0 target:0 c+:51 c-:49 score:98.38031635951016 score+:1337.9723024893376 score-:3030.113743872912 nb:27 =l_0c_15 l_0c_75 l_0c_76 l_0c_74 l_0c_53 l_0c_93 l_0c_115 l_0c_96 l_0c_27 l_0c_56 l_0c_41 l_0c_109 l_0c_46 l_0c_17 l_0c_31 l_0c_49 l_0c_80 l_0c_71 l_0c_19 l_0c_107 l_0c_82 l_0c_34 l_0c_79 l_0c_61 l_0c_86 l_0c_92 l_0c_8 
1,# 1 1 target:0 c+:74 c-:53 score:84.39907779046177 score+:2182.8721032508547 score-:3685.175687921074 nb:28 =l_0c_113 l_0c_75 l_0c_76 l_0c_74 l_0c_109 l_0c_53 l_0c_93 l_0c_115 l_0c_96 l_0c_46 l_0c_17 l_0c_31 l_0c_27 l_0c_87 l_0c_100 l_0c_45 l_0c_66 l_0c_108 l_0c_83 l_0c_85 l_0c_99 l_0c_20 l_0c_41 l_0c_12 l_0c_56 l_0c_15 l_0c_24 l_0c_9 
2,# 2 2 target:0 c+:96 c-:51 score:37.59127415651113 score+:572.4404701991458 score-:722.8055668251903 nb:5 =l_0c_36 l_0c_114 l_0c_120 l_0c_4 l_0c_0 
3,# 3 3 target:0 c+:96 c-:52 score:34.25208873256135 score+:533.7932045843745 score-:691.3528127541567 nb:6 =l_0c_14 l_0c_92 l_0c_88 l_0c_50 l_0c_38 l_0c_110 
4,# 4 4 target:0 c+:19 c-:15 score:26.75082078976412 score+:264.20360279864775 score-:483.5603332747135 nb:12 =l_0c_57 l_0c_53 l_0c_27 l_0c_34 l_0c_43 l_0c_49 l_0c_88 l_0c_74 l_0c_93 l_0c_115 l_0c_61 l_0c_46 
5,# 5 5 target:0 c+:96 c-:49 score:21.971066865023857 score+:906.7331456793423 score-:1073.7132538535236 nb:11 =l_0c_18 l_0c_92 l_0c_44 l_0c_5 l_0c_78 l_0c_102 l_0c_55 l_0c_118 l_0c_104 l_0c_10 l_0c_111 
6,# 6 6 target:0 c+:16 c-:12 score:20.924637727097345 score+:318.503290170691 score-:577.968797986698 nb:19 =l_0c_7 l_0c_109 l_0c_46 l_0c_45 l_0c_30 l_0c_20 l_0c_89 l_0c_91 l_0c_75 l_0c_76 l_0c_53 l_0c_27 l_0c_87 l_0c_100 l_0c_12 l_0c_42 l_0c_25 l_0c_80 l_0c_60 
7,# 7 7 target:0 c+:96 c-:53 score:20.07121231953313 score+:328.2665271050367 score-:420.5941037748891 nb:6 =l_0c_3 l_0c_60 l_0c_80 l_0c_71 l_0c_8 l_0c_116 
8,# 8 8 target:0 c+:73 c-:53 score:15.44119192056641 score+:349.0901566640076 score-:420.11963949861314 nb:6 =l_0c_24 l_0c_79 l_0c_80 l_0c_71 l_0c_107 l_0c_82 
9,# 9 9 target:0 c+:10 c-:8 score:14.078359905826169 score+:411.1788567114548 score-:771.5848703006048 nb:41 =l_0c_121 l_0c_7 l_0c_109 l_0c_46 l_0c_45 l_0c_30 l_0c_20 l_0c_89 l_0c_91 l_0c_75 l_0c_76 l_0c_53 l_0c_27 l_0c_87 l_0c_100 l_0c_12 l_0c_42 l_0c_101 l_0c_74 l_0c_93 l_0c_115 l_0c_96 l_0c_17 l_0c_31 l_0c_66 l_0c_108 l_0c_83 l_0c_85 l_0c_99 l_0c_41 l_0c_24 l_0c_56 l_0c_40 l_0c_19 l_0c_3 l_0c_5 l_0c_80 l_0c_71 l_0c_116 l_0c_51 l_0c_44 
10,# 10 0 target:1 c+:29 c-:4 score:28.261280574097427 score+:484.73907541034805 score-:168.21273298045702 nb:17 =l_0c_36 l_0c_114 l_0c_120 l_0c_69 l_0c_92 l_0c_44 l_0c_78 l_0c_111 l_0c_55 l_0c_104 l_0c_10 l_0c_97 l_0c_48 l_0c_4 l_0c_107 l_0c_0 l_0c_79 
11,# 11 1 target:1 c+:31 c-:5 score:23.60958503953695 score+:411.3633212789007 score-:175.2674708835313 nb:15 =l_0c_43 l_0c_14 l_0c_80 l_0c_71 l_0c_74 l_0c_8 l_0c_92 l_0c_93 l_0c_115 l_0c_61 l_0c_88 l_0c_34 l_0c_27 l_0c_53 l_0c_116 
12,# 12 2 target:1 c+:53 c-:16 score:23.184886617867406 score+:1466.0729369336752 score-:1053.3819551356355 nb:28 =l_0c_91 l_0c_75 l_0c_76 l_0c_109 l_0c_53 l_0c_46 l_0c_27 l_0c_87 l_0c_100 l_0c_45 l_0c_30 l_0c_20 l_0c_89 l_0c_42 l_0c_101 l_0c_74 l_0c_93 l_0c_115 l_0c_96 l_0c_17 l_0c_31 l_0c_66 l_0c_108 l_0c_83 l_0c_85 l_0c_99 l_0c_24 l_0c_12 
13,# 13 3 target:1 c+:21 c-:0 score:20.129738008154266 score+:297.92012252068304 score-:0 nb:23 =l_0c_30 l_0c_109 l_0c_46 l_0c_18 l_0c_92 l_0c_44 l_0c_5 l_0c_78 l_0c_111 l_0c_102 l_0c_55 l_0c_118 l_0c_104 l_0c_10 l_0c_87 l_0c_80 l_0c_71 l_0c_8 l_0c_53 l_0c_116 l_0c_51 l_0c_25 l_0c_27 
14,# 14 4 target:1 c+:10 c-:0 score:10.074643041171282 score+:106.79121623641555 score-:0 nb:16 =l_0c_121 l_0c_101 l_0c_64 l_0c_44 l_0c_5 l_0c_38 l_0c_78 l_0c_111 l_0c_102 l_0c_40 l_0c_80 l_0c_71 l_0c_8 l_0c_116 l_0c_51 l_0c_3 
15,# 15 5 target:1 c+:11 c-:0 score:8.737620152422965 score+:244.65336426784322 score-:0 nb:45 =l_0c_54 l_0c_107 l_0c_92 l_0c_44 l_0c_5 l_0c_38 l_0c_78 l_0c_111 l_0c_102 l_0c_64 l_0c_55 l_0c_122 l_0c_110 l_0c_118 l_0c_50 l_0c_104 l_0c_10 l_0c_18 l_0c_88 l_0c_23 l_0c_14 l_0c_114 l_0c_120 l_0c_97 l_0c_0 l_0c_4 l_0c_48 l_0c_69 l_0c_98 l_0c_36 l_0c_73 l_0c_123 l_0c_117 l_0c_13 l_0c_11 l_0c_79 l_0c_63 l_0c_80 l_0c_71 l_0c_8 l_0c_116 l_0c_51 l_0c_3 l_0c_40 l_0c_25 
16,# 16 0 target:0 c+:51 c-:50 score:107.28589301832811 score+:574.2105500086873 score-:1325.211801136984 nb:10 =l_1c_126 l_1c_34 l_1c_15 l_1c_16 l_1c_75 l_1c_37 l_1c_100 l_1c_113 l_1c_62 l_1c_83 
17,# 17 1 target:0 c+:76 c-:55 score:102.84969180504012 score+:512.6972443751978 score-:862.3861965123342 nb:4 =l_1c_69 l_1c_34 l_1c_126 l_1c_15 
18,# 18 2 target:0 c+:95 c-:52 score:49.06255706417028 score+:1754.584393982101 score-:2245.2099646238034 nb:15 =l_1c_78 l_1c_113 l_1c_121 l_1c_61 l_1c_114 l_1c_32 l_1c_82 l_1c_5 l_1c_36 l_1c_51 l_1c_111 l_1c_11 l_1c_10 l_1c_60 l_1c_91 
19,# 19 3 target:0 c+:14 c-:15 score:42.71639037509964 score+:402.26181890674115 score-:1008.8345622331559 nb:22 =l_1c_71 l_1c_75 l_1c_113 l_1c_62 l_1c_83 l_1c_23 l_1c_21 l_1c_7 l_1c_24 l_1c_105 l_1c_63 l_1c_37 l_1c_127 l_1c_96 l_1c_0 l_1c_34 l_1c_104 l_1c_70 l_1c_106 l_1c_52 l_1c_15 l_1c_8 
20,# 20 4 target:0 c+:0 c-:4 score:15.652264601884156 score+:0 score-:128.34856973545004 nb:12 =l_1c_0 l_1c_113 l_1c_62 l_1c_34 l_1c_69 l_1c_105 l_1c_106 l_1c_75 l_1c_83 l_1c_23 l_1c_104 l_1c_24 
21,# 21 5 target:0 c+:96 c-:49 score:15.005720549321026 score+:449.6600093668946 score-:509.6828915641787 nb:5 =l_1c_124 l_1c_113 l_1c_8 l_1c_107 l_1c_23 
22,# 22 6 target:0 c+:17 c-:10 score:10.78071182027518 score+:126.80032110985906 score-:176.3915954831249 nb:6 =l_1c_105 l_1c_113 l_1c_62 l_1c_55 l_1c_121 l_1c_61 
23,# 23 7 target:0 c+:123 c-:56 score:10.040553097363272 score+:165.5274610285295 score-:187.6166778427287 nb:2 =l_1c_100 l_1c_75 
24,# 24 8 target:0 c+:86 c-:43 score:8.046166395162004 score+:274.5837932184962 score-:301.9407589620471 nb:4 =l_1c_34 l_1c_23 l_1c_113 l_1c_62 
25,# 25 0 target:1 c+:20 c-:1 score:32.36295084232171 score+:504.61409979537683 score-:45.06019783440873 nb:22 =l_1c_63 l_1c_113 l_1c_91 l_1c_100 l_1c_8 l_1c_107 l_1c_121 l_1c_61 l_1c_114 l_1c_36 l_1c_51 l_1c_111 l_1c_32 l_1c_82 l_1c_124 l_1c_95 l_1c_54 l_1c_43 l_1c_20 l_1c_57 l_1c_33 l_1c_11 
26,# 26 1 target:1 c+:58 c-:17 score:31.693750924933568 score+:1169.406851985909 score-:814.4368416266532 nb:17 =l_1c_85 l_1c_113 l_1c_62 l_1c_83 l_1c_23 l_1c_96 l_1c_75 l_1c_37 l_1c_21 l_1c_127 l_1c_52 l_1c_104 l_1c_70 l_1c_24 l_1c_106 l_1c_34 l_1c_100 
27,# 27 2 target:1 c+:24 c-:3 score:17.500296281152107 score+:212.93559808717455 score-:79.93334635041859 nb:11 =l_1c_124 l_1c_113 l_1c_8 l_1c_107 l_1c_37 l_1c_75 l_1c_100 l_1c_62 l_1c_83 l_1c_23 l_1c_104 
28,# 28 3 target:1 c+:13 c-:2 score:16.968903884667373 score+:378.05547585805465 score-:137.09704069577805 nb:22 =l_1c_35 l_1c_113 l_1c_121 l_1c_61 l_1c_114 l_1c_36 l_1c_51 l_1c_111 l_1c_32 l_1c_82 l_1c_11 l_1c_91 l_1c_78 l_1c_10 l_1c_60 l_1c_5 l_1c_55 l_1c_95 l_1c_34 l_1c_100 l_1c_62 l_1c_23 
29,# 29 4 target:1 c+:19 c-:5 score:13.208175934895294 score+:244.98255425499667 score-:152.52532271072965 nb:10 =l_1c_0 l_1c_113 l_1c_62 l_1c_34 l_1c_69 l_1c_55 l_1c_121 l_1c_61 l_1c_82 l_1c_114 
30,# 30 5 target:1 c+:6 c-:0 score:8.58308927826093 score+:106.43030705043549 score-:0 nb:19 =l_1c_71 l_1c_75 l_1c_113 l_1c_62 l_1c_83 l_1c_23 l_1c_21 l_1c_85 l_1c_8 l_1c_37 l_1c_24 l_1c_127 l_1c_63 l_1c_7 l_1c_105 l_1c_96 l_1c_106 l_1c_104 l_1c_107 
31,# 31 0 target:0 c+:96 c-:52 score:36.1339002950011 score+:2726.4272887233283 score-:3478.012414859351 nb:33 =l_2c_61 l_2c_40 l_2c_32 l_2c_75 l_2c_84 l_2c_117 l_2c_50 l_2c_108 l_2c_15 l_2c_51 l_2c_74 l_2c_19 l_2c_4 l_2c_16 l_2c_6 l_2c_18 l_2c_70 l_2c_24 l_2c_12 l_2c_72 l_2c_9 l_2c_22 l_2c_126 l_2c_123 l_2c_102 l_2c_116 l_2c_127 l_2c_7 l_2c_104 l_2c_71 l_2c_42 l_2c_122 l_2c_2 
32,# 32 1 target:0 c+:21 c-:16 score:30.142059240419492 score+:487.4474794140611 score-:861.2090139952626 nb:19 =l_2c_111 l_2c_91 l_2c_121 l_2c_73 l_2c_85 l_2c_64 l_2c_57 l_2c_81 l_2c_87 l_2c_31 l_2c_38 l_2c_3 l_2c_80 l_2c_98 l_2c_114 l_2c_30 l_2c_35 l_2c_8 l_2c_76 
33,# 33 2 target:0 c+:119 c-:56 score:27.294780871539984 score+:760.4535809992185 score-:853.2558359624544 nb:4 =l_2c_59 l_2c_103 l_2c_5 l_2c_76 
34,# 34 3 target:0 c+:0 c-:3 score:17.63406554869479 score+:0 score-:81.11670152399603 nb:6 =l_2c_109 l_2c_85 l_2c_5 l_2c_103 l_2c_59 l_2c_73 
35,# 35 4 target:0 c+:91 c-:46 score:9.034033159156863 score+:185.7041071303349 score-:205.57898008048002 nb:2 =l_2c_57 l_2c_121 
36,# 36 0 target:1 c+:51 c-:10 score:33.951073498597516 score+:1116.2817689499177 score-:491.58201657572346 nb:29 =l_2c_119 l_2c_106 l_2c_91 l_2c_121 l_2c_40 l_2c_32 l_2c_75 l_2c_104 l_2c_84 l_2c_117 l_2c_50 l_2c_108 l_2c_15 l_2c_51 l_2c_4 l_2c_71 l_2c_16 l_2c_6 l_2c_18 l_2c_70 l_2c_24 l_2c_42 l_2c_12 l_2c_72 l_2c_7 l_2c_82 l_2c_99 l_2c_105 l_2c_55 
37,# 37 1 target:1 c+:67 c-:23 score:25.96279492470373 score+:1489.1637761938225 score-:1198.3804730371407 nb:17 =l_2c_5 l_2c_64 l_2c_91 l_2c_121 l_2c_57 l_2c_76 l_2c_81 l_2c_87 l_2c_31 l_2c_3 l_2c_98 l_2c_30 l_2c_35 l_2c_119 l_2c_8 l_2c_114 l_2c_38 
38,# 38 2 target:1 c+:38 c-:8 score:23.347252151783785 score+:448.27814130546267 score-:228.81397107869518 nb:14 =l_2c_119 l_2c_35 l_2c_91 l_2c_121 l_2c_57 l_2c_81 l_2c_87 l_2c_31 l_2c_30 l_2c_114 l_2c_3 l_2c_80 l_2c_38 l_2c_32 
